num_generations,population_size,initial_temp,min_mutation_rate,max_mutation_rate,initial_truncation_rate,min_truncation_rate,k,best_cost,mean_cost,max_cost,total_time
100,500,100.0,0.05,0.3,0.7,0.3,0.01,1945.0,2049.468,2685.0,0.052
100,1000,100.0,0.05,0.3,0.7,0.3,0.01,2117.0,2359.827,3096.0,0.084
500,100,100.0,0.05,0.3,0.7,0.3,0.01,1443.0,1445.66,1498.0,0.063
500,500,100.0,0.05,0.3,0.7,0.3,0.01,1316.0,1334.276,2026.0,0.217
500,1000,100.0,0.05,0.3,0.7,0.3,0.01,1272.0,1285.475,2338.0,0.352
1000,100,100.0,0.05,0.3,0.7,0.3,0.01,1258.0,1261.28,1314.0,0.125
1000,500,100.0,0.05,0.3,0.7,0.3,0.01,1176.0,1178.972,1370.0,0.434
1000,1000,100.0,0.05,0.3,0.7,0.3,0.01,1164.0,1166.098,1230.0,0.718
5000,100,100.0,0.05,0.3,0.7,0.3,0.01,1152.0,1153.88,1216.0,0.61
5000,500,100.0,0.05,0.3,0.7,0.3,0.01,1136.0,1138.344,1211.0,2.102
5000,1000,100.0,0.05,0.3,0.7,0.3,0.01,1142.0,1143.974,1589.0,3.414
100,100,100.0,0.1,0.3,0.7,0.3,0.01,1997.0,2091.73,2496.0,0.016
100,500,100.0,0.1,0.3,0.7,0.3,0.01,2138.0,2349.864,3114.0,0.048
100,1000,100.0,0.1,0.3,0.7,0.3,0.01,2035.0,2282.28,3166.0,0.077
500,100,100.0,0.1,0.3,0.7,0.3,0.01,1412.0,1413.3,1452.0,0.064
500,500,100.0,0.1,0.3,0.7,0.3,0.01,1297.0,1412.626,2761.0,0.231
500,1000,100.0,0.1,0.3,0.7,0.3,0.01,1319.0,1386.099,2247.0,0.365
1000,100,100.0,0.1,0.3,0.7,0.3,0.01,1256.0,1261.34,1323.0,0.122
1000,500,100.0,0.1,0.3,0.7,0.3,0.01,1177.0,1183.33,1250.0,0.426
1000,1000,100.0,0.1,0.3,0.7,0.3,0.01,1158.0,1163.377,1444.0,0.703
5000,100,100.0,0.1,0.3,0.7,0.3,0.01,1142.0,1146.41,1200.0,0.611
5000,500,100.0,0.1,0.3,0.7,0.3,0.01,1122.0,1126.236,1198.0,2.137
5000,1000,100.0,0.1,0.3,0.7,0.3,0.01,1112.0,1116.371,1189.0,3.429
100,100,100.0,0.01,0.3,0.7,0.3,0.05,2046.0,2146.76,3125.0,0.017
100,500,100.0,0.01,0.3,0.7,0.3,0.05,1875.0,1987.68,2907.0,0.049
100,1000,100.0,0.01,0.3,0.7,0.3,0.05,1980.0,2150.702,3136.0,0.08
500,100,100.0,0.01,0.3,0.7,0.3,0.05,1571.0,1571.0,1571.0,0.068
500,500,100.0,0.01,0.3,0.7,0.3,0.05,1424.0,1471.318,2341.0,0.219
500,1000,100.0,0.01,0.3,0.7,0.3,0.05,1277.0,1277.312,1337.0,0.365
1000,100,100.0,0.01,0.3,0.7,0.3,0.05,1408.0,1408.6,1468.0,0.124
1000,500,100.0,0.01,0.3,0.7,0.3,0.05,1264.0,1280.478,2786.0,0.434
1000,1000,100.0,0.01,0.3,0.7,0.3,0.05,1215.0,1215.224,1269.0,0.709
5000,100,100.0,0.01,0.3,0.7,0.3,0.05,1241.0,1241.28,1269.0,0.609
5000,500,100.0,0.01,0.3,0.7,0.3,0.05,1127.0,1127.486,1203.0,2.22
5000,1000,100.0,0.01,0.3,0.7,0.3,0.05,1126.0,1126.343,1191.0,3.707
100,100,100.0,0.05,0.3,0.7,0.3,0.05,1986.0,2111.37,2692.0,0.017
100,500,100.0,0.05,0.3,0.7,0.3,0.05,2146.0,2310.904,3061.0,0.051
100,1000,100.0,0.05,0.3,0.7,0.3,0.05,1985.0,2153.148,2901.0,0.089
500,100,100.0,0.05,0.3,0.7,0.3,0.05,1395.0,1452.21,2324.0,0.067
500,500,100.0,0.05,0.3,0.7,0.3,0.05,1351.0,1375.95,2549.0,0.224
500,1000,100.0,0.05,0.3,0.7,0.3,0.05,1290.0,1294.638,1827.0,0.385
1000,100,100.0,0.05,0.3,0.7,0.3,0.05,1272.0,1280.66,1319.0,0.131
1000,500,100.0,0.05,0.3,0.7,0.3,0.05,1189.0,1191.234,1263.0,0.49
1000,1000,100.0,0.05,0.3,0.7,0.3,0.05,1188.0,1189.858,1260.0,0.734
5000,100,100.0,0.05,0.3,0.7,0.3,0.05,1140.0,1141.7,1192.0,0.663
5000,500,100.0,0.05,0.3,0.7,0.3,0.05,1138.0,1140.25,1210.0,2.198
5000,1000,100.0,0.05,0.3,0.7,0.3,0.05,1133.0,1135.178,1204.0,3.403
100,100,100.0,0.1,0.3,0.7,0.3,0.05,2062.0,2193.97,2861.0,0.018
100,500,100.0,0.1,0.3,0.7,0.3,0.05,2051.0,2196.536,2903.0,0.051
100,1000,100.0,0.1,0.3,0.7,0.3,0.05,2122.0,2363.383,3162.0,0.077
500,100,100.0,0.1,0.3,0.7,0.3,0.05,1422.0,1552.6,2515.0,0.062
500,500,100.0,0.1,0.3,0.7,0.3,0.05,1318.0,1412.726,2480.0,0.231
500,1000,100.0,0.1,0.3,0.7,0.3,0.05,1204.0,1259.944,2319.0,0.352
1000,100,100.0,0.1,0.3,0.7,0.3,0.05,1243.0,1248.36,1315.0,0.119
1000,500,100.0,0.1,0.3,0.7,0.3,0.05,1147.0,1150.626,1221.0,0.442
